,SPX,MeanVar,MinVar,Equal,DRL
2015-01-31,,,,,
2015-02-28,,,,,
2015-03-31,,,,,
2015-04-30,,,,,
2015-05-31,,,,,
2015-06-30,,,,,
2015-07-31,,,,,
2015-08-31,,,,,
2015-09-30,,,,,
2015-10-31,,,,,
2015-11-30,,,,,
2015-12-31,-0.08890612218512617,,,,
2016-01-31,-0.08890612218512617,,,,
2016-02-29,-0.08890612218512628,,,,
2016-03-31,-0.08890612218512617,,,,
2016-04-30,-0.08890612218512617,,,,
2016-05-31,-0.08736883551736319,,,,
2016-06-30,-0.08736883551736319,,,,
2016-07-31,-0.07122631495750897,,,,
2016-08-31,-0.07122631495750897,,,,
2016-09-30,-0.07122631495750886,,,,
2016-10-31,-0.07122631495750897,,,,
2016-11-30,-0.05465422866615288,,,,
2016-12-31,-0.021830232416562678,,,,
2017-01-31,-0.021830232416562678,,,,
2017-02-28,-0.021830232416562567,,,,
2017-03-31,-0.021830232416562678,,,,
2017-04-30,-0.021830232416562345,,,,
2017-05-31,-0.021830232416562456,,,,
2017-06-30,-0.021830232416562678,,,,
2017-07-31,-0.02063614999689012,,,,
2017-08-31,-0.019425678909034683,,,,
2017-09-30,-0.0003891971352695256,,,,
2017-10-31,-0.0003891971352694146,,,,
2017-11-30,-0.0003891971352694146,,,,
2017-12-31,-0.0003891971352694146,,,,
2018-01-31,-0.0003891971352695256,,,,
2018-02-28,-0.03894737187936803,,,,
2018-03-31,-0.0647847899151387,,,,
2018-04-30,-0.06478478991513881,,,,
2018-05-31,-0.0647847899151387,,,,
2018-06-30,-0.0647847899151387,,,,
2018-07-31,-0.0647847899151387,,,,
2018-08-31,-0.06478478991513859,,,,
2018-09-30,-0.06478478991513881,,,,
2018-10-31,-0.06940335609369619,,,,
2018-11-30,-0.0694033560936963,,,,
2018-12-31,-0.13971608780476485,,,,
2019-01-31,-0.13971608780476497,,,,
2019-02-28,-0.13971608780476485,-0.18981188670270033,-0.18044078631368898,-0.18044078631368898,-0.1624368621491039
2019-03-31,-0.13971608780476497,-0.18981188670270033,-0.1804407863136891,-0.18044078631368898,-0.1624368621491038
2019-04-30,-0.13971608780476485,-0.18981188670270044,-0.18044078631368898,-0.18044078631368887,-0.1624368621491039
2019-05-31,-0.13971608780476485,-0.18981188670270033,-0.18044078631368898,-0.18044078631368887,-0.1624368621491038
2019-06-30,-0.13971608780476485,-0.18981188670270044,-0.18044078631368898,-0.18044078631368887,-0.1624368621491037
2019-07-31,-0.13971608780476497,-0.18981188670270044,-0.18044078631368898,-0.18044078631368887,-0.1624368621491038
2019-08-31,-0.13971608780476497,-0.18126813467969993,-0.17705698091217692,-0.1770569809121768,-0.1624368621491038
2019-09-30,-0.09177689467997241,-0.11392773785618704,-0.11611942924860441,-0.11611942924860441,-0.1081952246233081
2019-10-31,-0.09177689467997241,-0.11392773785618704,-0.11611942924860441,-0.11611942924860441,-0.1081952246233081
2019-11-30,-0.06577773136683507,-0.09854891784245268,-0.09267533484498214,-0.09267533484498214,-0.09264804329827692
2019-12-31,-0.06577773136683507,-0.09854891784245268,-0.09267533484498214,-0.09267533484498214,-0.09264804329827692
2020-01-31,-0.06577773136683507,-0.09854891784245268,-0.09267533484498214,-0.09267533484498214,-0.09264804329827692
2020-02-29,-0.08560163678303367,-0.09854891784245268,-0.1178390614214685,-0.11783906142146872,-0.11692090046907944
2020-03-31,-0.20001050382463925,-0.279472701557113,-0.31686702818432466,-0.31686702818432466,-0.3121079781142707
2020-04-30,-0.20001050382463914,-0.2794727015571129,-0.31686702818432455,-0.31686702818432466,-0.3121079781142707
2020-05-31,-0.20001050382463914,-0.279472701557113,-0.31686702818432455,-0.31686702818432455,-0.3121079781142708
2020-06-30,-0.20001050382463925,-0.279472701557113,-0.31686702818432444,-0.31686702818432455,-0.3121079781142707
2020-07-31,-0.20001050382463925,-0.2794727015571129,-0.31686702818432455,-0.31686702818432455,-0.31210797811427093
2020-08-31,-0.20001050382463925,-0.2794727015571129,-0.31686702818432455,-0.31686702818432455,-0.3121079781142708
2020-09-30,-0.20001050382463925,-0.279472701557113,-0.31686702818432444,-0.31686702818432455,-0.3121079781142707
2020-10-31,-0.20001050382463925,-0.2794727015571129,-0.31686702818432444,-0.31686702818432455,-0.3121079781142708
2020-11-30,-0.20001050382463925,-0.2794727015571129,-0.31686702818432455,-0.31686702818432466,-0.3121079781142708
2020-12-31,-0.19870592269142684,-0.2683382286419601,-0.29573024558922045,-0.29573024558922056,-0.28840669181647893
2021-01-31,-0.12511928240892844,-0.20375479258832885,-0.2256141232954152,-0.2256141232954152,-0.22103011808214235
2021-02-28,-0.06580848376294746,-0.04569265483061846,-0.03412040047467124,-0.0341208048622913,-0.03653369478022628
2021-03-31,-0.06580848376294746,-0.04569265483061835,-0.03412040047467113,-0.03412080486229152,-0.03653369478022617
2021-04-30,-0.06580848376294746,-0.04569265483061835,-0.03412040047467124,-0.03412080486229141,-0.036533694780226056
2021-05-31,-0.06580848376294735,-0.04569265483061846,-0.03412040047467102,-0.0341208048622913,-0.036533694780226056
2021-06-30,-0.06580848376294735,-0.04569265483061835,-0.03412040047467113,-0.0341208048622913,-0.03653369478022617
2021-07-31,-0.06580848376294746,-0.04569265483061846,-0.03412040047467113,-0.03412080486229152,-0.036533694780226056
2021-08-31,-0.027665786221379718,0.0,-6.9211090966248e-05,-6.9211090966248e-05,0.0
2021-09-30,-0.04756916880190076,-0.039400471725534736,-0.03647093065899809,-0.03647093065899809,-0.03524275314872005
2021-10-31,-0.04756916880190065,-0.039400471725534736,-0.0364709306589982,-0.03647093065899809,-0.03524275314872005
2021-11-30,-0.04756916880190076,-0.03940047172553485,-0.03647093065899809,-0.03647093065899798,-0.03524275314872005
2021-12-31,-0.04756916880190076,-0.039400471725534736,-0.03647093065899809,-0.03647093065899809,-0.03524275314872016
2022-01-31,-0.0525851650273933,-0.05421806333278356,-0.053909051881510295,-0.053909051881510295,-0.04691482710240069
2022-02-28,-0.08229656032898591,-0.054218063332783784,-0.053909051881510295,-0.053909051881510295,-0.04691482710240069
2022-03-31,-0.08229656032898569,-0.054218063332783784,-0.053909051881510184,-0.053909051881510406,-0.04691482710240069
2022-04-30,-0.1330730221284665,-0.09236191537722938,-0.08853524917954969,-0.08853524917954991,-0.07893771445475184
2022-05-31,-0.1330730221284666,-0.09673341591761597,-0.09292518027461938,-0.09292518027461949,-0.07950716311572836
2022-06-30,-0.20578330167889225,-0.20050621156114212,-0.1917250660941836,-0.19172506609418372,-0.18142873764285583
2022-07-31,-0.20578330167889214,-0.20050621156114234,-0.19172506609418372,-0.19172506609418372,-0.18142873764285583
2022-08-31,-0.20578330167889225,-0.20050621156114234,-0.1917250660941836,-0.19172506609418383,-0.18142873764285594
2022-09-30,-0.24769522239058794,-0.2374320981071737,-0.22885228097498445,-0.22885228097498456,-0.21994635977538124
2022-10-31,-0.24769522239058805,-0.2374320981071738,-0.22885228097498456,-0.22885228097498456,-0.21994635977538113
2022-11-30,-0.24769522239058794,-0.23743209810717347,-0.22885228097498456,-0.22885228097498456,-0.21994635977538124
