,SPX,MeanVar,MinVar,Equal,DRL
2015-03-31,,,,,
2015-06-30,,,,,
2015-09-30,,,,,
2015-12-31,,,,,
2016-03-31,,,,,
2016-06-30,,,,,
2016-09-30,,,,,
2016-12-31,-0.07150277382366332,,,,
2017-03-31,-0.06935164420467999,,,,
2017-06-30,0.0,,,,
2017-09-30,0.0,,,,
2017-12-31,0.0,,,,
2018-03-31,-0.012245611334087747,,,,
2018-06-30,-0.012245611334087858,,,,
2018-09-30,-0.012245611334087636,,,,
2018-12-31,-0.13971608780476563,,,,
2019-03-31,-0.13971608780476563,,,,
2019-06-30,-0.13971608780476552,,,,
2019-09-30,-0.13971608780476563,,,,
2019-12-31,-0.13971608780476563,-0.18126813467970027,-0.17705698091217703,-0.17705698091217692,-0.16243686214910402
2020-03-31,-0.20001050382463914,-0.27947270155711335,-0.3168670281843242,-0.31686702818432433,-0.31210797811427093
2020-06-30,-0.20001050382463914,-0.27947270155711335,-0.3168670281843242,-0.31686702818432433,-0.31210797811427093
2020-09-30,-0.20001050382463914,-0.27947270155711335,-0.3168670281843242,-0.31686702818432433,-0.31210797811427093
2020-12-31,-0.20001050382463914,-0.27947270155711335,-0.3168670281843242,-0.31686702818432433,-0.31210797811427093
2021-03-31,-0.20001050382463914,-0.27947270155711335,-0.3168670281843242,-0.31686702818432433,-0.31210797811427093
2021-06-30,-0.20001050382463914,-0.27947270155711335,-0.3168670281843242,-0.31686702818432433,-0.31210797811427093
2021-09-30,-0.20001050382463914,-0.27947270155711335,-0.3168670281843242,-0.31686702818432433,-0.31210797811427093
2021-12-31,0.0,-0.006627257739534986,-0.019424042615353465,-0.019424042615353354,-0.014406432703806593
2022-03-31,-0.04946729054207488,-0.015662883671768824,-0.019424042615353354,-0.019424042615353243,-0.014406432703806704
2022-06-30,-0.20578330167889258,-0.20050621156114234,-0.19172506609418405,-0.19172506609418438,-0.1814287376428555
2022-09-30,-0.2476952223905884,-0.23743209810717414,-0.22885228097498433,-0.22885228097498478,-0.21994635977538124
2022-12-31,-0.24769522239058828,-0.23743209810717414,-0.22885228097498445,-0.2288522809749849,-0.21994635977538124
2023-03-31,-0.24769522239058828,-0.23743209810717414,-0.22885228097498456,-0.22885228097498478,-0.21994635977538124
2023-06-30,-0.2476952223905884,-0.23743209810717403,-0.22885228097498445,-0.22885228097498478,-0.21994635977538113
2023-09-30,-0.24769522239058828,-0.23743209810717414,-0.22885228097498445,-0.22885228097498467,-0.21994635977538124
2023-12-31,-0.20854404049026365,-0.22529803129099457,-0.21987077100367147,-0.21987077100367158,-0.2158630687348082
2024-03-31,-0.05277139198948266,-0.04618658341065485,-0.05304066032507748,-0.05304066032507748,-0.04705469627850234
2024-06-30,-0.03647555543559822,-0.02672775104208136,-0.05304066032507737,-0.05304066032507737,-0.04521570681477627
2024-09-30,-0.03647555543559822,-0.02672775104208136,-0.05304066032507748,-0.05304066032507748,-0.04521570681477605
2024-12-31,-0.03647555543559833,-0.02672775104208136,-0.05304066032507748,-0.05304066032507748,-0.04521570681477605
2025-03-31,-0.04586820159231886,-0.02672775104208136,-0.05304066032507748,-0.05304066032507748,-0.04521570681477616
2025-06-30,-0.04586820159231886,-0.013908451595517679,-0.021708546278390584,-0.021708546278390584,-0.03568714466891598
