,SPX,MeanVar,MinVar,Equal,DRL
2015-03-31,,,,,
2015-06-30,,,,,
2015-09-30,,,,,
2015-12-31,,,,,
2016-03-31,,,,,
2016-06-30,,,,,
2016-09-30,,,,,
2016-12-31,0.3738350579528593,,,,
2017-03-31,0.7498823448144536,,,,
2017-06-30,,,,,
2017-09-30,,,,,
2017-12-31,,,,,
2018-03-31,,,,,
2018-06-30,,,,,
2018-09-30,,,,,
2018-12-31,0.35767293015360707,,,,
2019-03-31,0.653133556687167,,,,
2019-06-30,0.7009527538973436,,,,
2019-09-30,0.5922914432363282,,,,
2019-12-31,0.6868852358766008,,0.4843358860257473,0.48433588602574923,0.45387008948521723
2020-03-31,-0.10489956392191782,-0.4345805613464997,-0.307477264801049,-0.30747726480104803,-0.3377129592301514
2020-06-30,1.3063615659966277,0.6790098049561595,0.1491617201432944,0.14916172014329437,0.12581074381042998
2020-09-30,1.41233083668256,0.8945281394301019,0.25673133590505304,0.256730446182776,0.19784010125328608
2020-12-31,,,0.897617806603435,0.8976205785807149,0.8165590294054975
2021-03-31,,,0.8742384020745774,0.8742411740518571,0.8376062187975686
2021-06-30,,,1.0104008659130321,1.0104036378903118,0.9692058686922286
2021-09-30,0.9593572171382331,1.1250297456874945,1.0401801943849063,1.0401831280931457,0.9955793864705001
2021-12-31,1.0115747569661022,1.071878718696694,0.9848527000783097,0.9848556337865497,0.977579004606413
2022-03-31,5.4042728980193395,46.96543845957729,56.32710254179777,56.32721284259265,48.31764857353549
2022-06-30,0.7028021947676667,1.1422735812845168,1.342644256395918,1.3426497991276771,1.3562522945963342
2022-09-30,0.24006977526097104,0.8021582804815014,1.0216404251888256,1.0216484050060315,1.0734560388769345
2022-12-31,0.05076814003114437,0.453945785483622,0.5270233547451464,0.527023354745146,0.5923437891768524
2023-03-31,0.10231733240481423,0.011575907138325549,0.1230284318002518,0.12302843180025141,0.19497176196884025
2023-06-30,0.10762959728469358,-0.1788714921101318,-0.138876367258348,-0.13887636725834762,-0.04748665919205997
2023-09-30,-0.061179383161211354,-0.260369762351005,-0.27711694111298973,-0.27711694111298935,-0.1692491822972887
2023-12-31,-0.03266092460616733,-0.032301144870373326,-0.05928363321805042,-0.05928363321805171,0.05055588008410556
2024-03-31,0.6343131112530184,0.29168004791596847,0.26225142710420757,0.2622514271042078,0.35124497448138053
2024-06-30,10.677395545026393,4.853399367331641,3.9715056605354753,3.9715056605354793,11.452474897085876
2024-09-30,,16.029038578370983,5.334719677737589,5.334719677737593,19.794875692273738
2024-12-31,,6.518802549092605,2.914190947954005,2.914190947954008,3.370928012439541
2025-03-31,15.42714952236181,6.3573961825144805,2.4710284540040117,2.471028454004015,2.865187231933476
2025-06-30,16.634892067934807,6.586507569358132,2.7739679194909503,2.7739679194909503,3.38618781027808
