,drawdown
2015-01-31,0.0
2015-02-28,0.0
2015-03-31,-0.01739610711421946
2015-04-30,-0.009023516386017838
2015-05-31,0.0
2015-06-30,-0.021011671979729973
2015-07-31,-0.0016844555912514103
2015-08-31,-0.06415985923790113
2015-09-30,-0.08890612218512617
2015-10-31,-0.013300711584015579
2015-11-30,-0.012802557592104802
2015-12-31,-0.030108311421316314
2016-01-31,-0.07931607859201817
2016-02-29,-0.08311699355029689
2016-03-31,-0.022610862143529586
2016-04-30,-0.019972499582652126
2016-05-31,-0.004953967674904081
2016-06-30,-0.004047559109158216
2016-07-31,0.0
2016-08-31,-0.0012192428990192017
2016-09-30,-0.00245218894255006
2016-10-31,-0.021830232416562567
2016-11-30,0.0
2016-12-31,0.0
2017-01-31,0.0
2017-02-28,0.0
2017-03-31,-0.0003891971352694146
2017-04-30,0.0
2017-05-31,0.0
2017-06-30,0.0
2017-07-31,0.0
2017-08-31,0.0
2017-09-30,0.0
2017-10-31,0.0
2017-11-30,0.0
2017-12-31,0.0
2018-01-31,0.0
2018-02-28,-0.03894737187936825
2018-03-31,-0.06478478991513881
2018-04-30,-0.06224215018667201
2018-05-31,-0.041978757991086524
2018-06-30,-0.03733960118364399
2018-07-31,-0.0026630755522548677
2018-08-31,0.0
2018-09-30,0.0
2018-10-31,-0.0694033560936963
2018-11-30,-0.052783498728432354
2018-12-31,-0.13971608780476497
2019-01-31,-0.07202516291094618
2019-02-28,-0.044437501665177126
2019-03-31,-0.027309754582526713
2019-04-30,0.0
2019-05-31,-0.06577773136683507
2019-06-30,-0.001381637179141637
2019-07-31,0.0
2019-08-31,-0.018091627240524266
2019-09-30,-0.0012212847761849943
2019-10-31,0.0
2019-11-30,0.0
2019-12-31,0.0
2020-01-31,-0.0016280928190488542
2020-02-29,-0.08560163678303367
2020-03-31,-0.20001050382463925
2020-04-30,-0.0985366056399497
2020-05-31,-0.05771670278143559
2020-06-30,-0.04038962388373246
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,-0.03922797017842261
2020-10-31,-0.06580848376294746
2020-11-30,0.0
2020-12-31,0.0
2021-01-31,-0.01113666075544506
2021-02-28,0.0
2021-03-31,0.0
2021-04-30,0.0
2021-05-31,0.0
2021-06-30,0.0
2021-07-31,0.0
2021-08-31,0.0
2021-09-30,-0.04756916880190076
2021-10-31,0.0
2021-11-30,-0.008333706184746159
2021-12-31,0.0
2022-01-31,-0.0525851650273933
2022-02-28,-0.0822965603289858
2022-03-31,-0.04946729054207455
2022-04-30,-0.1330730221284666
2022-05-31,-0.1330269209416891
2022-06-30,-0.20578330167889236
2022-07-31,-0.13341714187599207
2022-08-31,-0.17019502953395627
2022-09-30,-0.24769522239058817
2022-10-31,-0.18761359460480875
2022-11-30,-0.14394547479458608
2022-12-31,-0.19442827203429303
2023-01-31,-0.14468191564159028
2023-02-28,-0.16701640392917416
2023-03-31,-0.13781898563661232
2023-04-30,-0.12519463664939878
2023-05-31,-0.12302306585800415
2023-06-30,-0.06625857213150554
2023-07-31,-0.037182860972037046
2023-08-31,-0.05424050497396016
2023-09-30,-0.1003173093462375
2023-10-31,-0.12009205484975816
2023-11-30,-0.041622507705814105
2023-12-31,0.0
2024-01-31,0.0
2024-02-29,0.0
2024-03-31,0.0
2024-04-30,-0.04161507173789902
2024-05-31,0.0
2024-06-30,0.0
2024-07-31,0.0
2024-08-31,0.0
2024-09-30,0.0
2024-10-31,-0.00989674330315149
2024-11-30,0.0
2024-12-31,-0.02499013704848352
2025-01-31,0.0
2025-02-28,-0.01424209269982446
2025-03-31,-0.07096723346243838
2025-04-30,-0.07805105567413395
2025-05-31,-0.02132922911275137
2025-06-30,0.0
