,drawdown
2015-03-31,0.0
2015-06-30,-0.002311431171169831
2015-09-30,-0.07150277382366332
2015-12-31,-0.011581830956202355
2016-03-31,-0.0039411684214927245
2016-06-30,0.0
2016-09-30,0.0
2016-12-31,0.0
2017-03-31,0.0
2017-06-30,0.0
2017-09-30,0.0
2017-12-31,0.0
2018-03-31,-0.012245611334087747
2018-06-30,0.0
2018-09-30,0.0
2018-12-31,-0.13971608780476563
2019-03-31,-0.02730975458252749
2019-06-30,0.0
2019-09-30,0.0
2019-12-31,0.0
2020-03-31,-0.20001050382463914
2020-06-30,-0.040389623883732795
2020-09-30,0.0
2020-12-31,0.0
2021-03-31,0.0
2021-06-30,0.0
2021-09-30,0.0
2021-12-31,0.0
2022-03-31,-0.04946729054207477
2022-06-30,-0.20578330167889247
2022-09-30,-0.2476952223905884
2022-12-31,-0.19442827203429325
2023-03-31,-0.13781898563661288
2023-06-30,-0.06625857213150543
2023-09-30,-0.1003173093462374
2023-12-31,0.0
2024-03-31,0.0
2024-06-30,0.0
2024-09-30,0.0
2024-12-31,0.0
2025-03-31,-0.04586820159231897
2025-06-30,0.0
