,equity
2015-03-31,1.0047079689224239
2015-06-30,1.0023856556051338
2015-09-30,0.9328685622617316
2015-12-31,0.9930716110660149
2016-03-31,1.0007482456024848
2016-06-30,1.0197552022226257
2016-09-30,1.0534788023373067
2016-12-31,1.08776121428352
2017-03-31,1.1479545363694459
2017-06-30,1.177441438928012
2017-09-30,1.2240599393598421
2017-12-31,1.2990040670730774
2018-03-31,1.2830969681463011
2018-06-30,1.320751230044361
2018-09-30,1.4157905206486951
2018-12-31,1.2179818079525873
2019-03-31,1.3771256289895104
2019-06-30,1.4292877657929586
2019-09-30,1.4462831896092088
2019-12-31,1.5697114497827929
2020-03-31,1.2557526718524317
2020-06-30,1.506311394720077
2020-09-30,1.6339520356538804
2020-12-31,1.8249296265995878
2021-03-31,1.9302740194489307
2021-06-30,2.087989554927907
2021-09-30,2.092867622803084
2021-12-31,2.3157031818349543
2022-03-31,2.2011516197299175
2022-06-30,1.8391701353686407
2022-09-30,1.7421145672197522
2022-12-31,1.8654650136464694
2023-03-31,1.996555318278984
2023-06-30,2.1622679955261863
2023-09-30,2.083398069388751
2023-12-31,2.3174765286575822
2024-03-31,2.552886124919294
2024-06-30,2.6530366874023654
2024-09-30,2.799766843443837
2024-12-31,2.857657187030674
2025-03-31,2.726581591094212
2025-06-30,3.0147460608866417
