,drawdown
2018-03-31,0.0
2018-06-30,0.0
2018-09-30,0.0
2018-12-31,-0.17705698091217692
2019-03-31,-0.04005728189414126
2019-06-30,-0.030277099800672058
2019-09-30,-0.03228417163145991
2019-12-31,0.0
2020-03-31,-0.31686702818432433
2020-06-30,-0.12137891150860258
2020-09-30,-0.038169893368371954
2020-12-31,0.0
2021-03-31,0.0
2021-06-30,0.0
2021-09-30,-0.019424042615353354
2021-12-31,0.0
2022-03-31,-0.011512848945383625
2022-06-30,-0.19172506609418438
2022-09-30,-0.22885228097498478
2022-12-31,-0.1368969903253201
2023-03-31,-0.10220309942611194
2023-06-30,-0.08102127672384207
2023-09-30,-0.1297645150311062
2023-12-31,-0.012832411556891299
2024-03-31,0.0
2024-06-30,-0.01960800680112562
2024-09-30,0.0
2024-12-31,-0.005640923527884811
2025-03-31,-0.021708546278390584
2025-06-30,0.0
