,equity
2018-03-31,1.0156860511256276
2018-04-30,1.0428354883630122
2018-05-31,1.0706443767329368
2018-06-30,1.078033802630507
2018-07-31,1.1333782622431063
2018-08-31,1.1529715822228812
2018-09-30,1.140939922401964
2018-10-31,1.0371965544294681
2018-11-30,1.054229898390552
2018-12-31,0.9341238708865586
2019-01-31,1.0575590756547586
2019-02-28,1.0948483285174355
2019-03-31,1.0865373189729177
2019-04-30,1.1459334291448076
2019-05-31,1.0330029297830958
2019-06-30,1.1121376581657039
2019-07-31,1.128360211200406
2019-08-31,1.0682683746899246
2019-09-30,1.1203470332071452
2019-10-31,1.1405109679543946
2019-11-30,1.1774918027151875
2019-12-31,1.2341102049154378
2020-01-31,1.2153294414686342
2020-02-29,1.1167540898852566
2020-03-31,0.8892100919285182
2020-04-30,1.0462379971846905
2020-05-31,1.0924233284727307
2020-06-30,1.1382815596409899
2020-07-31,1.1972249509915829
2020-08-31,1.3128752465533022
2020-09-30,1.2528864910768793
2020-10-31,1.2605100516813148
2020-11-30,1.492306958071284
2020-12-31,1.5520458400983408
2021-01-31,1.5720669785026022
2021-02-28,1.6756519877959957
2021-03-31,1.7770367887162313
2021-04-30,1.8677817534394245
2021-05-31,1.8875122925685295
2021-06-30,1.9084465891627402
2021-07-31,1.9328773561646568
2021-08-31,1.9735579353652868
2021-09-30,1.895798821734222
2021-10-31,2.0050151421444826
2021-11-30,1.9289231914152358
2021-12-31,2.033317729247685
2022-01-31,1.9230751798276622
2022-02-28,1.9401192527927897
2022-03-31,2.0014701101867343
2022-04-30,1.8455166092038902
2022-05-31,1.8366279596517063
2022-06-30,1.6256248944561273
2022-07-31,1.783216537909053
2022-08-31,1.7260187074115407
2022-09-30,1.5505428346738932
2022-10-31,1.7150259760462296
2022-11-30,1.8432519783913814
2022-12-31,1.7632967298682038
2023-01-31,1.9042878419726117
2023-02-28,1.8459222115000284
2023-03-31,1.7913993335801564
2023-04-30,1.7502990643010008
2023-05-31,1.686373407372567
2023-06-30,1.8243625198788371
2023-07-31,1.9518188953444933
2023-08-31,1.8685744932111243
2023-09-30,1.7756014126370114
2023-10-31,1.68571906803021
2023-11-30,1.8471452527730494
2023-12-31,2.0168078769667757
2024-01-31,1.9880086979538312
2024-02-29,2.055136431715293
2024-03-31,2.172197349319959
2024-04-30,2.070638684248994
2024-05-31,2.1725141014850498
2024-06-30,2.1419854476310296
2024-07-31,2.252178860165389
2024-08-31,2.272192344699773
2024-09-30,2.3715104495661437
2024-10-31,2.3337916894190793
2024-11-30,2.4983222812189534
2024-12-31,2.368861957278869
2025-01-31,2.4980958978984105
2025-02-28,2.4724437414577447
2025-03-31,2.3906249613609414
2025-04-30,2.277898016257378
2025-05-31,2.3410206338520005
2025-06-30,2.4575213878086117
