,drawdown
2018-03-31,0.0
2018-04-30,0.0
2018-05-31,0.0
2018-06-30,0.0
2018-07-31,0.0
2018-08-31,0.0
2018-09-30,-0.0041118343834581905
2018-10-31,-0.08939442538807996
2018-11-30,-0.07277154764291782
2018-12-31,-0.18044078631368898
2019-01-31,-0.06913805599965805
2019-02-28,-0.037821691434606564
2019-03-31,-0.04400440736859945
2019-04-30,-0.012440228964187172
2019-05-31,-0.10396266142436505
2019-06-30,-0.03426443976413851
2019-07-31,-0.0312963815380799
2019-08-31,-0.07862582116691774
2019-09-30,-0.03626325884796189
2019-10-31,-0.01808300010286379
2019-11-30,0.0
2019-12-31,0.0
2020-01-31,-0.030012338969161
2020-02-29,-0.1178390614214686
2020-03-31,-0.31686702818432455
2020-04-30,-0.2044738730147988
2020-05-31,-0.1558399293368795
2020-06-30,-0.12137891150860292
2020-07-31,-0.08397534672910112
2020-08-31,-0.0041921272623575145
2020-09-30,-0.038169490675996176
2020-10-31,-0.03568221346532263
2020-11-30,0.0
2020-12-31,0.0
2021-01-31,0.0
2021-02-28,0.0
2021-03-31,0.0
2021-04-30,0.0
2021-05-31,0.0
2021-06-30,0.0
2021-07-31,-6.921109096602596e-05
2021-08-31,0.0
2021-09-30,-0.03647093065899809
2021-10-31,0.0
2021-11-30,-0.03098047336061127
2021-12-31,0.0
2022-01-31,-0.053909051881510295
2022-02-28,-0.049317902384355294
2022-03-31,-0.011512848945382625
2022-04-30,-0.08853524917954969
2022-05-31,-0.09292518027461927
2022-06-30,-0.1917250660941836
2022-07-31,-0.1130128218346309
2022-08-31,-0.14156485001600627
2022-09-30,-0.22885228097498445
2022-10-31,-0.1470481563478675
2022-11-30,-0.08327617467993986
2022-12-31,-0.13689699032531966
2023-01-31,-0.046315190849428145
2023-02-28,-0.08231256403559029
2023-03-31,-0.10220309942611117
2023-04-30,-0.11118225746115762
2023-05-31,-0.1462340262799785
2023-06-30,-0.08102127672384174
2023-07-31,-0.038538028916268896
2023-08-31,-0.07652486436269235
2023-09-30,-0.12976451503110564
2023-10-31,-0.1776880199079489
2023-11-30,-0.10200240664969606
2023-12-31,-0.012832411556889856
2024-01-31,-0.029587048000765948
2024-02-29,0.0
2024-03-31,0.0
2024-04-30,-0.05664735278853028
2024-05-31,-0.019170747195329962
2024-06-30,-0.01960800680112562
2024-07-31,0.0
2024-08-31,-0.001071516843624165
2024-09-30,0.0
2024-10-31,-0.01517807970641849
2024-11-30,0.0
2024-12-31,-0.05205650732221012
2025-01-31,-0.022381774483703043
2025-02-28,-0.035367075159703054
2025-03-31,-0.06737411118336456
2025-04-30,-0.10384881056855477
2025-05-31,-0.06530453369946798
2025-06-30,-0.025308300571345144
