tic,gvkey,latest_date,count_gvkeys
A,126554,2025-07-28,1
AAL,1045,2025-07-28,1
AAP,145977,2025-07-28,1
AAPL,1690,2025-07-28,1
ABBV,16101,2025-07-28,1
ABI,51983,2025-07-28,1
ABNB,37460,2025-07-28,1
ABT,1078,2025-07-28,1
ACGL,61302,2025-07-28,1
ACN,143357,2025-07-28,1
ACV,24081,2025-07-28,1
ADBE,12540,2025-07-28,1
ADCT,35649,2025-07-28,1
ADI,1632,2025-07-28,1
ADM,1722,2025-07-28,1
ADP,1891,2025-07-28,1
ADSK,1878,2025-07-28,1
ADT,32930,2025-07-28,1
AEE,10860,2025-07-28,1
AEP,1440,2025-07-28,1
AES,24216,2025-07-28,1
AFL,1449,2025-07-28,1
AIG,1487,2025-07-28,1
AIT,2101,2025-07-28,1
AIV,30490,2025-07-28,1
AIZ,157057,2025-07-28,1
AJG,4973,2025-07-28,1
AKAM,125595,2025-07-28,1
AL,186278,2025-07-28,1
ALB,29751,2025-07-28,1
ALGN,141384,2025-07-28,1
ALK,1230,2025-07-28,1
ALL,28349,2025-07-28,1
ALLE,316056,2025-07-28,1
ALTR,32530,2025-03-28,1
AM,31109,2025-07-28,1
AMAT,1704,2025-07-28,1
AMCR,100243,2025-07-28,1
AMD,1161,2025-07-28,1
AME,1598,2025-07-28,1
AMG,65886,2025-07-28,1
AMGN,1602,2025-07-28,1
AMH,17639,2025-07-28,1
AMP,164708,2025-07-28,1
AMT,105365,2025-07-28,1
AMTM,50688,2025-07-28,1
AMZN,64768,2025-07-28,1
AN,9063,2025-07-28,1
ANET,20748,2025-07-28,1
ANF,63643,2025-07-28,1
ANSS,63080,2025-07-18,1
AON,3221,2025-07-28,1
AOS,9771,2025-07-28,1
APA,1678,2025-07-28,1
APD,1209,2025-07-28,1
APH,14282,2025-07-28,1
APO,184254,2025-07-28,1
APTV,118122,2025-07-28,1
AR,18465,2025-07-28,1
ARE,64821,2025-07-28,1
AS,43862,2025-07-28,1
ASC,18289,2025-07-28,1
ASH,1794,2025-07-28,1
ASND,22604,2025-07-28,1
ASO,37054,2025-07-28,1
ATGE,3905,2025-07-28,1
ATI,10405,2025-07-28,1
ATO,4383,2025-07-28,1
AVB,29875,2025-07-28,1
AVGO,180711,2025-07-28,1
AVY,1913,2025-07-28,1
AWK,179437,2025-07-28,1
AXON,143912,2025-07-28,1
AXP,1447,2025-07-28,1
AYI,146017,2025-07-28,1
AZO,23809,2025-07-28,1
BA,2285,2025-07-28,1
BAC,7647,2025-07-28,1
BALL,1988,2025-07-28,1
BAX,2086,2025-07-28,1
BBWI,6733,2025-07-28,1
BBY,2184,2025-07-28,1
BC,2444,2025-07-28,1
BCO,28590,2025-07-28,1
BDX,2111,2025-07-28,1
BEAM,35714,2025-07-28,1
BEN,4885,2025-07-28,1
BF.B,2435,2025-07-28,1
BG,144435,2025-07-28,1
BHF,31774,2025-07-28,1
BIIB,24468,2025-07-28,1
BIO,2220,2025-07-28,1
BK,2019,2025-07-28,1
BKNG,119314,2025-07-28,1
BKR,32106,2025-07-28,1
BLDR,163036,2025-07-28,1
BLK,124434,2025-07-28,1
BMY,2403,2025-07-28,1
BNL,36967,2025-07-28,1
BOAT,39379,2025-07-28,1
BR,176928,2025-07-28,1
BRK.B,2176,2025-07-28,1
BRO,15417,2025-07-28,1
BSX,25279,2025-07-28,1
BUD,241637,2025-07-28,1
BWA,28742,2025-07-28,1
BX,177088,2025-07-28,1
BXP,64925,2025-07-28,1
C,3243,2025-07-28,1
CA,45004,2025-07-28,1
CAG,3362,2025-07-28,1
CAH,2751,2025-07-28,1
CAL,2436,2025-07-28,1
CAR,3278,2025-07-28,1
CARR,36191,2025-07-28,1
CAT,2817,2025-07-28,1
CB,28034,2025-07-28,1
CBOE,184500,2025-07-28,1
CBRE,260774,2025-07-28,1
CCB,33695,2025-07-28,1
CCEP,12756,2025-07-28,1
CCI,113490,2025-07-28,1
CCK,3619,2025-07-28,1
CCL,13498,2025-07-28,1
CCU,25753,2025-07-28,1
CDNS,13421,2025-07-28,1
CDW,28320,2025-07-28,1
CE,162254,2025-07-28,1
CEG,40614,2025-07-28,1
CF,163946,2025-07-28,1
CFG,21825,2025-07-28,1
CG,189459,2025-07-28,1
CHA,51553,2025-07-28,1
CHD,3026,2025-07-28,1
CHRS,21841,2025-07-28,1
CHRW,65609,2025-07-28,1
CHTR,126136,2025-07-28,1
CI,2547,2025-07-28,1
CIEN,64356,2025-07-28,1
