ts,mode,symbol,side,qty,order_type,tp_price,sl_price,time_in_force,client_order_id,price_used,notional,batch_id,status,order_id,error
2025-08-29T14:10:07Z,DRY,AAL,SELL,5,MARKET,,,DAY,SBX_20250829_AAL_SELL_6631c61aaa,13.2500,66.25,BATCH_20250829_221007,SIMULATED,,
2025-08-29T14:10:07Z,DRY,AMD,SELL,3,MARKET,,,DAY,SBX_20250829_AMD_SELL_842eb5c896,163.4950,490.49,BATCH_20250829_221007,SIMULATED,,
2025-08-29T14:10:07Z,DRY,ADM,SELL,7,MARKET,,,DAY,SBX_20250829_ADM_SELL_edca93a710,62.7700,439.39,BATCH_20250829_221007,SIMULATED,,
2025-08-29T14:10:07Z,DRY,AIT,BUY,2,BRACKET,279.94,258.61,DAY,SBX_20250829_AIT_BUY_048d99071d,266.6100,533.22,BATCH_20250829_221007,SIMULATED,,
2025-08-29T14:10:07Z,DRY,HRB,BUY,4,BRACKET,52.83,48.80,DAY,SBX_20250829_HRB_BUY_44273e95c2,50.3100,201.24,BATCH_20250829_221007,SIMULATED,,
2025-08-29T14:31:57Z,REAL,AIT,SELL,0.395651,MARKET,,,DAY,SBX_20250829_AIT_SELL_1d0377e13f,263.5400,104.27,BATCH_20250829_223156,FAILED,,"403 {""available"":""0"",""code"":40310000,""existing_qty"":""3"",""held_for_orders"":""3"",""message"":""insufficient qty available for order (requested: 0.39565117, available: 0)"",""related_orders"":[""ef4c7c26-7374-47f9-b438-370cc98f11a7""],""symbol"":""AIT""}"
2025-08-29T14:31:57Z,REAL,HRB,SELL,0.993673,MARKET,,,DAY,SBX_20250829_HRB_SELL_2712a2f9b3,50.4350,50.12,BATCH_20250829_223156,FAILED,,"403 {""available"":""0"",""code"":40310000,""existing_qty"":""6"",""held_for_orders"":""6"",""message"":""insufficient qty available for order (requested: 0.993673483, available: 0)"",""related_orders"":[""9d9310e9-e227-4b14-8fc7-69636bc69da5""],""symbol"":""HRB""}"
2025-08-29T14:31:58Z,REAL,RHI,SELL,1.434945,MARKET,,,DAY,SBX_20250829_RHI_SELL_6d3a12a3e0,36.9700,53.05,BATCH_20250829_223156,FAILED,,"403 {""available"":""0"",""code"":40310000,""existing_qty"":""20"",""held_for_orders"":""20"",""message"":""insufficient qty available for order (requested: 1.434944807, available: 0)"",""related_orders"":[""7aa0730a-170f-4f79-b118-70615312be40""],""symbol"":""RHI""}"
2025-08-29T14:31:59Z,REAL,AAL,BUY,62.134454,BRACKET,13.82,12.77,DAY,SBX_20250829_AAL_BUY_5e40f2be61,13.1650,818.00,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:00Z,REAL,AMD,BUY,6.549804,BRACKET,171.07,158.03,DAY,SBX_20250829_AMD_BUY_90554789ea,162.9200,1067.09,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:01Z,REAL,ADM,BUY,25.978966,BRACKET,65.64,60.64,DAY,SBX_20250829_ADM_BUY_8fec94b583,62.5150,1624.08,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:01Z,REAL,ADSK,BUY,10.211108,BRACKET,325.93,301.10,DAY,SBX_20250829_ADSK_BUY_44bdb644e5,310.4100,3169.63,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:01Z,REAL,BAX,BUY,40.042905,BRACKET,25.70,23.74,DAY,SBX_20250829_BAX_BUY_22cecf4b72,24.4750,980.05,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:02Z,REAL,UIS,BUY,64.084791,BRACKET,4.14,3.82,DAY,SBX_20250829_UIS_BUY_f43d202426,3.9400,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:02Z,REAL,CSX,BUY,21.252519,BRACKET,33.91,31.33,DAY,SBX_20250829_CSX_BUY_88e0ff2d83,32.2950,686.35,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:03Z,REAL,LUMN,BUY,50.701622,BRACKET,5.23,4.83,DAY,SBX_20250829_LUMN_BUY_890afe396a,4.9800,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:03Z,REAL,CMA,BUY,3.603969,BRACKET,73.56,67.96,DAY,SBX_20250829_CMA_BUY_ac22236ac3,70.0600,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:03Z,REAL,DXC,BUY,17.437436,BRACKET,15.20,14.05,DAY,SBX_20250829_DXC_BUY_cc09b9bce4,14.4800,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:04Z,REAL,CAG,BUY,36.009973,BRACKET,20.01,18.49,DAY,SBX_20250829_CAG_BUY_22a48ef23c,19.0600,686.35,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:05Z,REAL,WEN,BUY,24.220055,BRACKET,10.95,10.11,DAY,SBX_20250829_WEN_BUY_6e9d60d1a7,10.4250,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:06Z,REAL,DLX,BUY,34.964345,BRACKET,20.61,19.04,DAY,SBX_20250829_DLX_BUY_c9320255ce,19.6300,686.35,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:06Z,REAL,DTE,BUY,1.844638,BRACKET,143.72,132.77,DAY,SBX_20250829_DTE_BUY_085906fd23,136.8800,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:06Z,REAL,DDS,BUY,1.248772,BRACKET,577.10,533.13,DAY,SBX_20250829_DDS_BUY_9e3820e65c,549.6200,686.35,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:07Z,REAL,DOV,BUY,1.408221,BRACKET,188.27,173.92,DAY,SBX_20250829_DOV_BUY_b9b815b27d,179.3000,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:07Z,REAL,DD,BUY,3.267686,BRACKET,81.13,74.95,DAY,SBX_20250829_DD_BUY_d936b20933,77.2700,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:07Z,REAL,EQT,BUY,13.235948,BRACKET,54.45,50.30,DAY,SBX_20250829_EQT_BUY_49a8ad4b38,51.8550,686.35,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:08Z,REAL,FRT,BUY,2.524941,BRACKET,105.00,97.00,DAY,SBX_20250829_FRT_BUY_6d91c3bb27,100.0000,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:08Z,REAL,RF,BUY,9.265838,BRACKET,28.61,26.43,DAY,SBX_20250829_RF_BUY_db0b22cf84,27.2500,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:08Z,REAL,USB,BUY,14.122430,BRACKET,51.03,47.14,DAY,SBX_20250829_USB_BUY_e4fe37a9fe,48.6000,686.35,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:08Z,REAL,FHN,BUY,30.463830,BRACKET,23.66,21.85,DAY,SBX_20250829_FHN_BUY_03a71451a9,22.5300,686.35,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:09Z,REAL,FLR,BUY,6.222131,BRACKET,42.61,39.36,DAY,SBX_20250829_FLR_BUY_aa586b81ca,40.5800,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:09Z,REAL,GM,BUY,11.849967,BRACKET,60.82,56.18,DAY,SBX_20250829_GM_BUY_c049f642c5,57.9200,686.35,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
2025-08-29T14:32:09Z,REAL,GT,BUY,29.863285,BRACKET,8.88,8.20,DAY,SBX_20250829_GT_BUY_06185a4f4d,8.4550,252.49,BATCH_20250829_223156,FAILED,,"422 {""code"":42210000,""message"":""fractional orders must be simple orders""}"
