symbol,price
REG,72.245
CNC,28.36
UCL,3.13
WBA,12.01
PHM,131.48
ICE,177.16
PBI,12.03
LPX,95.72
IRM,92.02
MMI,32.62
ESS,268.14
URBN,69.65
FI,137.55
CDNS,354.135
GOOGL,211.66
LIN,482.115
FCX,44.37
NOV,13.195
GT,8.51
DD,77.64
CCI,97.76
FCPT,25.64
MO,66.41
MOH,174.68
NKTR,29.325
FLR,41.625
WDAY,228.49
CFG,52.17
WDC,82.02
RIG,3.08
HUM,297.64
PLTR,158.03
O,58.14
LEG,9.73
VICI,33.505
AMT,202.55
DOC,17.87
PSX,132.86
DTE,136.57
EW,81.27
CIEN,97.89
KEY,19.36
WY,25.95
GM,58.49
SLM,31.31
IQV,188.61
AIT,266.61
TX,33.16
NVR,8058.66
DLX,19.38
BXP,71.68
SBAC,206.02
PYPL,70.06
DXC,14.2
MAA,144.12
OXY,47.53
PFE,24.605
NAVI,13.66
DVA,136.0
FL,25.05
HST,17.28
CAG,18.8
LOW,257.53
OGN,9.17
CCU,12.3
AKAM,78.4
AVB,194.67
SMCI,43.95
VRSN,271.925
RF,27.36
UIS,3.92
GPN,88.26
AAL,13.22
KHC,27.63
KMX,62.165
ANF,96.5
VNO,37.59
SRE,81.46
PLD,112.67
HAL,22.64
TECH,54.335
SYF,76.58
DHI,168.91
TDG,1398.31
TDC,21.12
NRG,148.72
ODP,20.77
MAC,18.49
WOR,66.79
IR,80.23
QRVO,91.47
COTY,4.335
KEYS,166.505
CSX,32.66
PPL,36.55
ES,64.28
ARE,81.84
ANET,136.24
TFC,46.81
CPRT,48.76
NUE,149.8
FHN,22.7
MMM,157.53
LW,56.26
AMH,35.39
MAR,270.43
THC,184.63
S,17.63
MD,17.105
KR,67.44
KIM,22.42
SE,186.15
FRT,99.87
EQT,52.37
IVZ,22.06
EXR,142.32
CF,87.29
INTC,24.69
AMD,168.57
WU,8.51
SUN,52.09
EQR,65.305
FIS,69.74
XRAY,14.325
ADSK,289.055
HBAN,17.8
BAX,24.41
BAC,50.52
DDOG,140.95
CPT,110.78
SLG,56.875
INVH,30.965
RHI,36.51
HOG,28.82
TEX,52.11
TMC,5.26
EIX,54.71
PENN,20.19
CVS,72.13
AXON,782.525
GTE,4.15
USB,48.685
CSGP,90.33
COIN,308.465
DOV,181.54
STT,115.21
AM,17.83
PAC,245.58
PTC,214.98
ADM,62.66
PPG,111.25
MTCH,37.03
DLR,168.62
BNL,18.44
PANW,191.0
BBWI,29.355
CSR,58.055
LUMN,5.015
PCH,41.725
RRC,34.44
UDR,39.01
WEN,10.5
PSA,291.73
INCY,83.71
NVDA,179.75
SPG,179.52
MTW,10.08
VNT,43.445
VTR,67.56
NDAQ,95.26
KMI,27.0
SNA,327.045
TRMB,82.2
FTI,37.045
IEX,165.18
EQ,1.825
NEM,73.0
ASC,11.7
PKG,216.74
STLD,131.565
BG,84.64
FE,43.54
XRX,3.89
BRO,96.21
DDS,549.62
KBH,63.45
ABBV,207.94
SLB,36.5
META,751.17
WELL,167.44
MGM,39.59
HRB,50.125
STI,3.2
AIV,7.84
CMA,70.81
NYT,59.745
ALB,84.93
NI,42.16
ENPH,37.6
BUD,62.65
VRSK,266.11
TSLA,345.9
FRO,20.72
AL,60.67
ALLE,170.97
HI,25.9
CPRI,21.58
CBRE,161.965
MPC,179.22
TRIP,17.04
FTNT,79.29
SB,4.25
