,0
0,1000000.0
1,1000004.1092000001
2,1000015.3054000001
3,1000044.6880000001
4,1000058.2494
5,1000069.3028000001
6,1000086.6508000001
7,1000070.8922000001
8,1000102.0374000001
9,1000066.2742000001
10,1000088.8184000001
11,1000079.7576000001
12,1000109.6980000001
13,1000120.2330000001
14,1000233.9660000001
15,1000418.9824000002
16,1000437.2738000002
17,1000475.5626000002
18,1000296.6466000002
19,1000246.6502000003
20,1000416.1588000002
21,1000390.5502000002
22,1000467.2438000002
23,1000499.2302000002
24,1000607.1136000002
25,1000657.0878000002
26,1000774.1578000002
27,1000885.0186000002
28,1001084.0710000002
29,1001206.2090000001
30,1001431.6384000002
31,1001416.6526000001
32,1001593.2676000001
33,1001801.8714000002
34,1001816.2624000001
35,1001642.1524000001
36,1001729.5522000002
37,1001786.1470000002
38,1001631.5386000002
39,1002182.7382000003
40,1001916.1094000003
41,1002011.8938000003
42,1001887.4734000004
43,1001790.2588000004
44,1001888.8486000004
45,1001931.2338000004
46,1002181.6170000004
47,1002282.3892000003
48,1002126.1570000004
49,1002520.4312000005
50,1002472.7892000005
51,1002306.9490000005
52,1002366.7152000004
53,1001304.0790000005
54,1001776.6828000004
55,1001592.5690000005
56,1001741.1618000006
57,1001858.2492000005
58,1002319.6324000005
59,1002676.8996000005
60,1002806.2546000005
61,1002748.7052000005
62,1002696.4576000005
63,1002826.1116000006
64,1002477.8614000006
65,1002520.7220000005
66,1002471.8812000005
67,1002502.7418000005
68,1002112.5014000005
69,1001744.1724000005
70,1001377.5540000006
71,1002141.7460000005
72,1001995.1164000005
73,1002145.7908000005
74,1002957.1610000005
75,1002932.0092000006
76,1004145.3580000005
77,1004889.5748000005
78,1004738.6722000005
79,1005375.8734000005
80,1005565.1584000005
81,1006542.5386000006
82,1006728.3946000006
83,1006360.4460000007
84,1006399.7062000006
85,1006821.9654000006
86,1007077.2146000006
87,1007492.0578000006
88,1007559.6914000006
89,1007459.0234000005
90,1007735.2576000006
91,1008132.8856000006
92,1008663.7048000006
93,1005359.4124000006
94,1006475.2910000007
95,1007023.5458000007
96,1008134.3890000007
97,1008267.4090000007
98,1008891.8262000007
99,1010067.1306000007
100,1010314.3112000007
101,1010432.6868000007
102,1010378.8600000008
103,1010942.5342000008
104,1012624.4974000008
105,1012590.1282000007
106,1011983.0596000007
107,1012579.4024000008
108,1012738.5340000008
109,1008822.5626000008
110,1007994.7630000009
111,1009246.2784000009
112,1008560.2712000009
113,1007856.8762000009
114,1006736.8936000009
115,1009390.6306000008
116,1008111.8214000008
117,1009723.6342000009
118,1009673.6194000009
119,1010313.4054000009
120,1009518.5806000009
121,1006430.269000001
122,1008855.308400001
123,1005863.6080000009
124,1005922.856200001
125,1004107.603400001
126,1005793.2796000009
127,1004215.729000001
128,1006094.603200001
129,1007252.848000001
130,1007757.074800001
131,1009915.793800001
132,1010322.179800001
133,1011795.659600001
134,1011886.6172000009
135,1013166.2734000009
136,1014305.8106000009
137,1014563.2310000008
138,1014477.5476000009
139,1015392.0654000009
140,1014871.1700000009
141,1015530.9820000008
142,1014235.8846000009
143,1014061.405400001
144,1013180.1286000009
145,1013655.7640000009
146,1014222.2928000009
147,1013396.213800001
148,1013778.1460000009
149,1015131.1730000009
150,1014753.2818000008
151,1014463.4956000007
152,1009763.8132000008
153,1011398.0926000008
154,1014213.4506000008
155,1014365.5720000009
156,1014752.6914000008
157,1010118.3058000009
158,1009957.479200001
159,1009668.454600001
160,1013105.633600001
161,1012281.6696000011
162,1011598.4158000011
163,1011106.5704000011
164,1011825.3310000012
165,1012746.4828000012
166,1015532.4234000011
167,1018118.0304000011
168,1017779.1064000011
169,1015562.286400001
170,1016307.3926000011
171,1016885.8900000011
172,1014715.7806000011
173,1017584.6964000012
174,1018190.7790000013
175,1018537.8546000012
176,1017021.3262000012
177,1017903.4150000012
178,1016992.6938000013
179,1017437.2828000013
180,1016624.3668000014
181,1015010.5598000013
182,1014752.8706000014
183,1011968.3842000014
184,1012646.3282000013
185,1015029.9648000014
186,1014934.0756000014
187,1016875.9874000014
188,1017117.4784000014
189,1017700.4668000013
190,1017963.5490000014
191,1020691.9284000015
192,1021072.9792000013
193,1020741.9260000014
194,1020952.3762000015
195,1021807.4242000014
196,1021275.2634000015
197,1022395.2080000013
198,1023402.0412000014
199,1023777.1642000014
200,1023414.1834000014
201,1022305.7062000013
202,1023110.7400000014
203,1021138.6658000012
204,1021645.7110000013
205,1020494.7512000013
206,1019523.6026000013
207,1028380.2634000013
208,1029084.4386000013
209,1030272.7070000012
210,1030164.6640000013
211,1029549.7220000012
