,0
0,1000000.0
1,1000008.8952
2,1000000.7636
3,1000020.5356
4,999985.9913999999
5,999983.2120134956
6,1000014.61023415
7,999972.3703751297
8,1000007.4308044114
9,999933.9805285935
10,999977.5238259797
11,999883.8340863709
12,999975.7092600319
13,999896.7538691162
14,1000089.628931536
15,1000372.9660232374
16,1000330.9018404922
17,1000267.8737720281
18,1000015.5527500951
19,1000007.3124314763
20,1000020.2637652608
21,1000046.3812549016
22,1000378.5373664754
23,1000281.9195347906
24,1000279.6855940999
25,1000348.4465733815
26,1000689.9354394582
27,1000925.9874366125
28,1001267.1843095953
29,1001526.9988040334
30,1001881.3541164341
31,1001815.7984521062
32,1001927.389991113
33,1002376.6890414091
34,1002306.9596357227
35,1002355.3664022505
36,1002451.4526695418
37,1002574.7564525343
38,1002342.1421089798
39,1003549.0389514266
40,1002976.4075127273
41,1003029.5496463729
42,1002743.5855871169
43,1002450.535727861
44,1002262.7336291672
45,1002385.8174964584
46,1002743.0019826309
47,1002791.7742095474
48,1002372.0123054306
49,1003322.6772652542
50,1003094.1546598312
51,1002384.6122345901
52,1002250.898576271
53,1000707.7704943863
54,1000986.9235177537
55,1000850.7253616776
56,1000754.9162235459
57,1000619.1869697128
58,1001559.79995103
59,1001679.6246003769
60,1002106.9514686051
61,1001779.8980452378
62,1001530.8026532731
63,1001617.0035869187
64,1001181.0588299058
65,1001589.5563779465
66,1001432.1955241135
67,1001517.9385555161
68,1001329.537692711
69,1000643.7670343048
70,999618.5765503147
71,1001018.24259403
72,1000529.3563539325
73,1000222.9449807298
74,1001570.5193181371
75,1001024.5323323186
76,1002907.6443715347
77,1003926.456513441
78,1003808.9294762774
79,1003956.5028591623
80,1003550.4432636613
81,1004014.7058123163
82,1004081.1858346146
83,1003843.9154294314
84,1004066.4237654703
85,1004834.0530650297
86,1004795.9907884527
87,1004606.0220672791
88,1004967.4672404819
89,1004540.4334524137
90,1004186.9630866437
91,1005346.0366136845
92,1005145.055092511
93,1001298.9820370609
94,1002160.3872057647
95,1003575.080453979
96,1004697.2455650778
97,1005191.1856379425
98,1005718.3441464952
99,1006816.8562600145
100,1006763.5689749726
101,1006553.1360177961
102,1006488.9635157457
103,1008402.2947813586
104,1009214.751359039
105,1009026.8337977629
106,1008219.760532368
107,1008682.2002547111
108,1008803.1414340027
109,1008406.6381645205
110,1008348.3473064823
111,1009626.8393677901
112,1009284.5278879537
113,1008763.3701023951
114,1007505.9426307331
115,1009760.365215474
116,1007893.5243002154
117,1007820.3569105696
118,1007689.1680628858
119,1008020.2626795069
120,1008202.3525852289
121,1005887.7185901338
122,1008449.9508173815
123,1005880.3912533491
124,1006419.3955063268
125,1006913.7826245604
126,1007596.4041470259
127,1004844.6783581701
128,1006785.781332913
129,1007107.8581287034
130,1006874.882193156
131,1009194.8713636894
132,1009717.8172724359
133,1011191.9429309019
134,1011147.8103083107
135,1011314.159206206
136,1013074.6624077496
137,1013216.834490584
138,1012915.4687249151
139,1012829.0882797327
140,1013644.580331557
141,1013653.4057390874
142,1013329.3595658881
143,1012919.1751475064
144,1012717.2036420808
145,1013491.8276562529
146,1013658.1669466178
147,1012963.2753851584
148,1013609.6575240265
149,1014275.4352581172
150,1013386.525722987
151,1013366.9501453892
152,1008221.103363754
153,1008750.1217572751
154,1012358.3907359448
155,1012308.3688031514
156,1012954.0448398571
157,1007085.4106647008
158,1006497.9945159841
159,1006786.3174903423
160,1010704.8190904638
161,1009333.4738893255
162,1008437.8045658609
163,1009329.4028893255
164,1009340.339375702
165,1009781.4231942459
166,1011635.7378139282
167,1014017.7151976608
168,1014580.7344208409
169,1011669.4494458111
170,1013044.4539014432
171,1012989.9328423135
172,1012502.792537393
173,1016897.2424544313
174,1018304.8482091336
175,1018502.6507258457
176,1018361.644981371
177,1016818.4436762438
178,1017724.7624191926
179,1018152.1277092628
180,1018303.6777976879
181,1017126.5526282999
182,1017209.536766314
183,1016304.6036683267
184,1016566.173722287
185,1018294.5734178965
186,1018828.6697258169
187,1020413.8148290503
188,1022389.3104478279
189,1023370.8392020848
190,1023916.8793100051
191,1026682.3026496075
192,1026138.6820519511
193,1025349.4584208624
194,1026601.9634085514
195,1027351.667419112
196,1026625.7104290795
197,1027211.784847264
198,1027858.4627962403
199,1028200.2153809926
200,1028679.3537375929
201,1028810.5287094411
202,1031388.6410642911
203,1029416.5078378895
204,1030301.0315997702
205,1027772.4217962403
206,1028426.3230349529
207,1032615.821880132
208,1030674.3562947866
209,1031480.017705347
210,1032167.4516543236
211,1032367.0009569637
212,1034130.861439669
213,1034952.886498817
214,1034574.4634044471
215,1035486.0952041768
216,1033513.253236387
217,1033339.8294306176
218,1033841.8488479257
219,1032570.0313069392
220,1029821.4132772068
221,1034474.3250018707
222,1032837.6485657494
223,1033781.4463340302
224,1037438.0300985633
225,1036932.1856560528
226,1038239.019958254
227,1037948.2396994437
228,1043752.6611100247
229,1043393.9448209407
230,1048492.6621515213
231,1047261.3470202954
232,1046539.540042128
233,1044397.5950881924
234,1044505.2871910312
235,1046383.3903781537
236,1049660.0389799085
237,1051486.0232253277
238,1052561.2825120115
239,1052486.6733703085
240,1049953.4996884246
241,1051927.9368366825
242,1055875.7161526307
243,1053450.7605541535
244,1053115.1406262051
245,1054412.8060768417
246,1054240.9552116906
247,1053471.2655138574
248,1053777.7346348523
249,1055094.4788960535
250,1052658.7696281727
251,1057268.5443763435
252,1061387.8602391132
253,1064159.820274147
254,1068582.1711245077
255,1069804.8472135575
256,1071328.190179711
257,1070286.2315938876
258,1075241.5893714237
259,1079718.823131206
260,1077337.8656468764
261,1083959.835281224
262,1082769.645639503
263,1085977.6963522383
264,1091764.2459546295
265,1093288.8442078903
266,1093001.5321981257
267,1093304.3190087778
268,1101762.430899937
269,1096839.0665176855
270,1089245.0642291403
271,1089604.652048454
272,1088761.1042648305
273,1072641.9162265752
274,1042239.2871338016
275,1056006.9307979008
276,1052119.9354083652
277,1025321.4474830662
278,1035682.6274142322
279,1046001.77077849
280,1047777.565650472
281,1057496.259290494
282,1066842.985295975
283,1067055.8158077307
284,1062367.2810939592
285,1058651.1905830875
286,1059611.3131970172
287,1071538.738842838
288,1080397.1027240832
289,1070714.9677516941
290,1062929.6109755202
291,1051830.467216119
292,1055714.6906459858
293,1064502.57179308
294,1066454.7832876034
295,1066167.004545995
296,1069928.1288900143
297,1083581.397142266
298,1082570.10536317
299,1077374.2895849617
300,1073260.0282754865
301,1072383.4813791183
302,1070047.2056554703
303,1059195.6492370525
304,1060539.63547815
305,1059003.6122577789
306,1039032.7487929526
307,1022372.775934325
308,1043331.8885193611
309,1029890.7264983993
310,1027583.8872118933
311,1037535.7900809828
312,1020438.6894350708
313,1030396.6569772379
314,1038827.9438416566
315,1045130.5214573836
316,1027112.9004895448
317,1031015.0592069153
318,1043719.7106421402
319,1039443.4663662456
320,1046126.1399438983
321,1043709.2124002022
322,1050465.847217199
323,1059360.2667440842
324,1059979.2242116986
325,1055279.4966348459
326,1048114.5874580932
327,1047983.2494444659
328,1036679.5663739662
329,1038727.2660424049
330,1047167.0528659531
331,1047951.8993378076
332,1041446.6522286007
333,1042936.2866516871
334,1037253.6855914082
335,1035392.5552957797
336,1046300.5191115332
337,1049192.9912392327
338,1049187.6528392327
339,1057540.9196853046
340,1065724.948762863
341,1068425.0292798018
342,1068844.6024207762
343,1062673.75308976
344,1066418.3184798444
345,1065653.9972765816
346,1063398.1224930226
347,1070152.2209686863
348,1067630.581694337
349,1070119.0127861777
350,1068245.8460616034
351,1066066.024542008
352,1055558.8752707269
353,1067634.482894337
354,1061992.4838978387
355,1070991.6378395667
356,1075399.8968787568
357,1076075.9363800562
358,1083922.042682411
359,1083815.0726683002
360,1086623.385115779
361,1087891.189783544
362,1089128.1716873152
363,1086041.8258918806
364,1088466.340771436
365,1082890.3079324528
366,1080894.589584815
367,1077177.4298014888
368,1078822.3419091902
369,1072724.5645382893
370,1074485.279620272
371,1061267.7409103315
372,1063387.9001472204
373,1055391.1964411903
374,1060871.077198749
375,1062258.68564904
376,1064330.7401135752
377,1060877.1152205514
378,1068831.8126388662
379,1077163.8611615933
380,1086132.2879254725
381,1089755.2521689723
382,1082327.0887922328
383,1091462.654442302
384,1092260.0652332294
385,1091339.4754889936
386,1095480.688580449
387,1097645.9740037567
388,1093729.5010873051
389,1092540.066606867
390,1094463.404037579
391,1099702.27071701
392,1108647.3971202967
393,1106136.263476879
394,1098931.5897942497
395,1093399.5217497365
396,1098595.8089466265
397,1096813.8254534828
398,1102606.116863078
399,1107197.8431922353
400,1111152.6265648128
401,1114734.3655731548
402,1114269.500669303
403,1112767.6432317838
404,1105415.5517454713
405,1101322.2343614448
406,1108275.8919192257
407,1100052.5055511722
408,1108907.582724362
409,1112796.5397952572
410,1115171.3525491527
411,1117786.1140765462
412,1117122.5221549687
413,1115639.1990361486
414,1122353.1878897557
415,1131214.0917837603
416,1131760.579248589
417,1137850.0109995352
418,1133243.9023674093
419,1133282.9371863254
420,1131331.1962405094
421,1128286.4803650363
422,1124890.4511193165
423,1122704.5012600026
424,1124656.2422058186
425,1128364.5500028692
426,1128632.3101466808
427,1135301.8499131068
428,1135497.0009565696
429,1129486.3488179168
430,1135614.0915826473
431,1136824.0280521165
432,1146035.1573035582
433,1139829.354121443
434,1136043.4238782653
435,1134989.6082435665
436,1131593.9800873145
437,1134755.4269914113
438,1134872.517617489
439,1138814.5686954365
440,1138151.055147663
441,1138774.960307229
442,1129874.9832239833
443,1123551.7298458877
444,1123551.7298458877
445,1121912.3678589738
446,1086392.858142511
447,1062465.9796192232
448,1077220.2375014462
449,1071170.2111211694
450,1094589.668077079
451,1094784.8302183785
452,1078976.6967731393
453,1078391.2103492417
454,1073551.1892450203
455,1068086.6492886415
456,1035728.7662612261
457,1054308.2021129145
458,1035767.798689486
459,1030030.0317352882
460,1045291.7111848892
461,1056454.9856672063
462,1067696.3250060428
463,1061373.0716279473
464,1067227.9358669247
465,1073980.5459558787
466,1096970.64620093
467,1094979.9923596778
468,1084285.107016479
469,1064027.2767496172
470,1062036.6229083647
471,1054776.5912520327
472,1065783.7360213103
473,1068555.0384277597
474,1050483.0241434495
475,1031044.8748700443
476,1034557.7934134306
477,1027649.0536114373
478,1044237.8356218734
479,1047750.7541652598
480,1071872.7948298468
481,1069530.849134256
482,1076049.2646536506
483,1090296.100968496
484,1054971.753393332
485,1053371.423834678
486,1028898.0913157525
