,0
0,1000000.0
1,1000004.1092000001
2,1000015.3054000001
3,1000044.6880000001
4,1000058.2494
5,1000069.3028000001
6,1000086.6508000001
7,1000070.8922000001
8,1000102.0374000001
9,1000066.3857373121
10,1000088.8691210957
11,1000081.4743264705
12,1000105.3682524716
13,1000113.6638176572
14,1000208.8095086972
15,1000355.7193765112
16,1000369.7910782918
17,1000400.2905014758
18,1000253.2581471057
19,1000211.3953301746
20,1000352.9244044177
21,1000330.8945809681
22,1000395.8758213489
23,1000423.9737196199
24,1000512.3909505726
25,1000553.4784212249
26,1000651.0822521775
27,1000743.8771128757
28,1000910.7322567073
29,1001012.1254543355
30,1001197.3324938199
31,1001184.4636601628
32,1001331.4411313619
33,1001506.173469875
34,1001517.9182619463
35,1001369.7410996471
36,1001443.9098600039
37,1001492.0367946322
38,1001358.5980580616
39,1001829.7207420528
40,1001604.2880254808
41,1001685.4508469211
42,1001578.6981876809
43,1001494.8867013608
44,1001579.4641552409
45,1001615.757030841
46,1001826.7189020584
47,1001911.0666353722
48,1001778.7245687341
49,1002112.526868662
50,1002071.60396867
51,1001929.6539020318
52,1001980.6991223235
53,1001070.693598593
54,1001476.1399010344
55,1001317.9994558551
56,1001445.6267554432
57,1001546.4076551227
58,1001943.3409430424
59,1002250.6014919699
60,1002361.9213063372
61,1002311.7499368233
62,1002266.0605861443
63,1002378.4991816768
64,1002074.5171645934
65,1002111.6392964375
66,1002068.5369645935
67,1002095.2986587677
68,1001761.9551863903
69,1001447.678212716
70,1001133.3973409067
71,1001788.8883208184
72,1001665.5248351123
73,1001793.6402927896
74,1002486.8446044324
75,1002466.5430997629
76,1003499.1920241219
77,1004131.4610084688
78,1004003.5899426497
79,1004544.917001481
80,1004705.7948485422
81,1005539.0331111439
82,1005697.5352110509
83,1005383.0487592786
84,1005418.2081389255
85,1005775.3073083219
86,1005991.4604899599
87,1006343.7500605807
88,1006400.9580556841
89,1006314.6252624169
90,1006550.4602434428
91,1006890.7474165118
92,1007345.9809810119
93,1004517.0685019753
94,1005473.9059113271
95,1005944.6448368937
96,1006900.4562880266
97,1007014.7655597151
98,1007553.6480017195
99,1008564.7491907228
100,1008777.1003237839
101,1008878.7577796532
102,1008831.896873041
103,1009318.7165204638
104,1010754.5947233366
105,1010724.8196355278
106,1010210.306668282
107,1010717.4501372655
108,1010852.6890593147
109,1007508.5490849385
110,1006810.3769688908
111,1007870.7495291396
112,1007287.9256320142
113,1006689.4054644441
114,1005735.1927608654
115,1007986.3079747723
116,1006899.9919187599
117,1008270.313319939
118,1008227.2982706295
119,1008772.5876363083
120,1008093.2587227009
121,1005461.5307949646
122,1007531.0579701045
123,1004973.4755130243
124,1005023.7912450628
125,1003467.5800159408
126,1004913.8660745778
127,1003567.3508936173
128,1005166.8928020097
129,1006153.0738911293
130,1006582.7397497479
131,1008426.0086131342
132,1008773.0760786408
133,1010032.320151731
134,1010109.7673905746
135,1011199.4500485824
136,1012165.7346880354
137,1012383.6424181788
138,1012310.7180589982
139,1013087.4482369805
140,1012643.7974129601
141,1013205.4879245535
142,1012100.3704276388
143,1011950.9435225511
144,1011197.0158883554
145,1011603.7574773466
146,1012088.8663188814
147,1011379.6980284724
148,1011707.3502561622
149,1012870.3973530771
150,1012548.2238762199
151,1012301.7202057736
152,1008282.6669796628
153,1009681.2592547239
154,1012093.526190576
155,1012225.2246221751
156,1012555.177104902
157,1008598.4474377219
158,1008460.592225275
159,1008212.9161228709
160,1011156.2102904768
161,1010449.4003669983
162,1009862.6263947218
163,1009439.6951573815
164,1010057.3816521473
165,1010849.8936818494
166,1013249.9149709553
167,1015479.4654638804
168,1015186.4842389869
169,1013270.5894159339
170,1013914.6215106999
171,1014415.0161930189
172,1012534.3462761894
173,1015021.9370428062
174,1015547.6197863698
175,1015849.3916926534
176,1014536.362811887
177,1015300.137937914
178,1014510.0966853666
179,1014895.9199580196
180,1014193.768486926
181,1012799.029110763
182,1012575.7999864228
183,1010165.4515507286
184,1010752.3224936279
185,1012814.4366020979
186,1012731.0537185334
187,1014412.8341366783
188,1014621.8087139465
189,1015127.2579520473
190,1015355.3224660284
191,1017726.0212159778
192,1018056.1477845726
193,1017769.9508866123
194,1017951.3764205866
195,1018689.9442240554
196,1018229.7372070835
197,1019197.7793762463
198,1020068.699874971
199,1020393.1887313586
200,1020078.4907693135
201,1019121.2240468104
202,1019817.3790482304
203,1018109.3359347872
204,1018548.3318856746
205,1017558.9513136835
206,1016729.1823628056
207,1024324.4743481274
208,1024928.3722167629
209,1025947.5131275584
210,1025854.3058722254
211,1025330.141166402
