,0
0,1716614.9505538235
1,1714782.9582497445
2,1714558.2697337915
3,1714558.2697337915
4,1714558.2697337915
5,1714558.2697337915
6,1714558.2697337915
7,1714558.2697337915
8,1714558.2697337915
9,1714558.2697337915
10,1714558.2697337915
11,1714558.2697337915
12,1714558.2697337915
13,1714558.2697337915
14,1714558.2697337915
15,1714558.2697337915
16,1714558.2697337915
17,1714558.2697337915
18,1714558.2697337915
19,1714558.2697337915
20,1714558.2697337915
21,1714558.2697337915
22,1714558.2697337915
23,1714558.2697337915
24,1714558.2697337915
25,1714558.2697337915
26,1714558.2697337915
27,1714558.2697337915
28,1714558.2697337915
29,1714558.2697337915
30,1714558.2697337915
31,1714558.2697337915
32,1714558.2697337915
33,1714558.2697337915
34,1714558.2697337915
35,1714558.2697337915
36,1714558.2697337915
37,1714558.2697337915
38,1714558.2697337915
39,1714558.2697337915
40,1714558.2697337915
41,1714558.2697337915
42,1714558.2697337915
43,1714558.2697337915
44,1714558.2697337915
45,1714558.2697337915
46,1714558.2697337915
47,1714558.2697337915
48,1714558.2697337915
49,1714558.2697337915
50,1714558.2697337915
51,1714558.2697337915
52,1714558.2697337915
53,1714558.2697337915
54,1714558.2697337915
55,1714558.2697337915
56,1714558.2697337915
57,1713854.069482347
58,1714642.4224520687
59,1715516.730904657
60,1717623.3499052858
61,1723612.4175412033
62,1721993.5243653469
