,0
0,1642563.8331977944
1,1643462.975030125
2,1643322.2559021793
3,1643322.2559021793
4,1643322.2559021793
5,1643322.2559021793
6,1643322.2559021793
7,1643322.2559021793
8,1643322.2559021793
9,1643322.2559021793
10,1643322.2559021793
11,1643322.2559021793
12,1643322.2559021793
13,1643322.2559021793
14,1643322.2559021793
15,1643322.2559021793
16,1643322.2559021793
17,1643322.2559021793
18,1643322.2559021793
19,1643322.2559021793
20,1643322.2559021793
21,1643322.2559021793
22,1643322.2559021793
23,1643322.2559021793
24,1643322.2559021793
25,1643322.2559021793
26,1643322.2559021793
27,1643322.2559021793
28,1643322.2559021793
29,1643322.2559021793
30,1643322.2559021793
31,1643322.2559021793
32,1643322.2559021793
33,1643322.2559021793
34,1643322.2559021793
35,1643322.2559021793
36,1643322.2559021793
37,1642364.1231690145
38,1644453.298753176
39,1644086.3478741348
40,1644086.3478741348
41,1644086.3478741348
42,1651701.186454753
43,1651496.8197026039
44,1651496.8197026039
45,1651496.8197026039
46,1651496.8197026039
47,1651496.8197026039
48,1651496.8197026039
49,1651496.8197026039
50,1651496.8197026039
51,1651496.8197026039
52,1651496.8197026039
53,1651496.8197026039
54,1651496.8197026039
55,1651496.8197026039
56,1651496.8197026039
57,1651496.8197026039
58,1651496.8197026039
59,1651496.8197026039
60,1651496.8197026039
61,1651496.8197026039
62,1651496.8197026039
