,0
0,1000000.0
1,999956.5472955209
2,999473.1893618129
3,996017.8648300648
4,996085.8650787249
5,992575.1315211981
6,987805.9534709773
7,986424.8742752051
8,974128.6511319958
9,977402.6776795712
10,985538.1491526647
11,966652.3332193308
12,980040.988150363
13,976345.5068521821
14,968301.7695897383
15,972124.6751913285
16,980396.9367694698
17,997132.3780441979
18,972937.5523781709
19,957772.4149133859
20,953143.4479621572
21,969215.3060978769
22,957929.4337829218
23,971835.6086354862
24,988235.9921476903
25,986625.9755577669
26,945583.0073069255
27,948633.2467620464
28,954243.5162995715
29,945492.2694001354
30,913711.3934652144
31,914150.7376437085
32,909202.0080352095
33,893617.0002614
34,860258.6155465405
35,885419.8035826731
36,870182.731981988
37,846368.7109926409
38,831954.5042086007
39,798566.0203009369
40,792187.5991038658
41,812236.2805220843
42,776213.487212701
43,789216.4896370174
44,783428.771809869
45,822130.7437804748
46,817374.3162901449
47,839753.0488958121
48,848381.7019875575
49,845249.7362367632
50,867068.2444449583
51,875132.8903474117
52,863330.6357915177
53,850693.5647380076
54,901148.0459491268
55,887454.480710621
56,899024.1929589774
57,917346.5609218534
58,903883.3536643579
59,879701.1839801214
60,883530.3201508699
61,897101.0991280398
62,920908.5224181629
63,920620.2800857859
64,920356.3953709174
65,907506.2931875674
66,909176.4243654269
67,936046.9314925811
68,927018.4060508121
69,916808.2700711626
70,924489.9853902046
71,933484.1201337485
72,936870.3297371625
73,917974.3732428154
74,927196.4035505379
75,913009.3972014628
76,918782.936069127
77,924261.7145125209
78,919328.8725184342
79,922458.0780723634
80,936101.0416910134
81,933782.1522215995
82,937041.1563076745
83,953649.3391007767
84,957632.4538615992
85,964653.7857636262
86,963031.1154583932
87,981845.3651254084
88,964111.5422507477
89,970872.3021006396
90,955753.5948436969
91,959223.8941802543
92,954307.5142463631
93,979760.9567252392
94,975300.3114165633
95,978337.2847189088
96,959332.5207774757
97,960906.6453529856
98,982682.0038695214
99,965257.411194939
100,970771.5566049545
101,977251.4692347948
102,1006992.049186417
103,1016783.9101513764
104,1009914.6081634167
105,1011982.6513985051
106,1011494.7142962256
107,1008384.4838932409
108,1005246.4048524086
109,1001416.6583172217
110,996991.3416484442
111,1001310.3941732395
112,982022.9045790471
113,972223.4720386113
114,974811.0285766209
115,986536.7282823551
116,981788.3239597692
117,958079.7649424352
118,955192.7072938909
119,953610.5607957067
120,971087.9643133153
121,967258.8459483708
122,976968.0859734715
123,967595.3453985968
124,977337.9473122014
125,953251.3455376043
126,960731.0872018804
127,945453.0782423773
128,950635.3356599796
129,947994.9903656378
130,943695.2743784704
131,959145.865587348
132,965351.3333018866
133,987185.1595981207
134,990964.6993643559
135,994862.7038518133
136,1004678.3078513707
137,1012638.6785071936
138,1006951.0896015539
139,1014041.9947395697
140,1021171.8519644536
141,1023268.2951409521
142,1024981.4209484473
143,1024413.2715902319
144,1027822.2342020787
145,1024356.8616450871
146,1028269.8106203832
147,1028495.6255913152
148,1017057.1062354649
149,1013338.8227766029
150,1019275.6992208472
151,1024302.8647148503
152,1018155.387959403
153,1030358.747164968
154,1029399.3940977016
155,1021612.6783580509
156,1004634.4752571599
157,1012533.0048621708
158,1018915.945289909
159,1026074.1078004756
160,1042358.5057152241
161,1044569.3388968197
162,1050053.9894293894
163,1053749.0981227795
164,1053430.297645599
165,1046892.1110522571
166,1043191.4570975606
167,1030225.3207068937
168,1030120.4254525675
169,1034926.0410788838
170,1045469.9585917965
171,1053735.0578289714
172,1055250.6610824505
173,1062390.3903642194
174,1058231.388879234
175,1057606.5435080256
176,1060423.2406105152
177,1076516.621576244
178,1079691.1949321476
179,1085076.6615265575
180,1077786.0472620693
181,1079857.5649847332
182,1070452.2722947423
183,1065427.8551478495
184,1063868.1422869603
185,1074132.921346809
186,1077882.1768013875
187,1074803.916920692
188,1060017.093180801
189,1055973.2965403858
190,1063301.3216157453
191,1076392.6382382312
192,1080076.0373391835
193,1086430.2023892703
194,1090693.2926813427
195,1092340.77104602
196,1088108.6197136226
197,1101610.2796186102
198,1110610.8435143202
199,1113151.6528582682
200,1126202.1307326618
201,1124530.9258086123
202,1114445.4073863789
203,1127084.6719254795
204,1117066.9840196145
205,1109015.7984584346
206,1109788.5116129604
207,1093023.2210461537
208,1113628.6720366208
209,1089010.2143795695
210,1100988.8517707936
211,1099293.2569704738
212,1108891.3918036
213,1130723.3727972521
214,1132436.6445001904
215,1151375.2835258977
216,1149659.1650594631
217,1154734.5849697986
218,1143563.487792541
219,1155359.397308399
220,1172716.9823938862
221,1170175.8736006275
222,1168336.5070464818
223,1160097.2751346698
224,1159599.6983216775
225,1171321.111042377
226,1173489.7322336496
227,1177431.1686581532
228,1161729.272385246
229,1160503.0919496266
230,1174476.7945119587
231,1167520.143073589
232,1156065.617517616
233,1157868.6848189465
234,1158892.958428127
235,1145108.0882136647
236,1147194.5746670451
237,1156561.3070997538
238,1166253.9335895842
239,1163729.9813248173
240,1160139.813201286
241,1160649.705290138
242,1148148.0598037068
243,1146031.8291323963
244,1151177.2731650844
245,1155076.9842121424
246,1156172.4527267567
247,1160258.197942802
248,1161611.992209064
249,1160318.3037211758
250,1157819.5676273839
251,1145088.7463723866
252,1160584.8890564647
253,1156186.0840085142
254,1154736.526542255
255,1157985.4972677531
256,1156964.801716911
257,1170098.3027448193
258,1165466.3259017828
259,1171220.1281912152
260,1174656.2691671292
261,1162390.8332191005
262,1175625.2716062083
263,1162730.5338991277
264,1142601.087533256
265,1130017.698335735
266,1132256.0975878253
267,1131613.593061954
268,1130442.5425208774
269,1122935.7289122692
270,1117935.6112751116
271,1131490.1072318377
272,1144792.7831338802
273,1136933.9978069798
274,1108656.7768624034
275,1107704.3614930261
276,1100611.238858463
277,1118674.4405307688
278,1114112.551524135
279,1126521.499979011
280,1120705.5126552503
281,1135205.8655577556
282,1141728.5586992702
283,1150226.9669378006
284,1149438.0464973298
285,1148889.934179453
286,1142448.2228054234
287,1154484.1780310231
288,1147985.9506346618
289,1142686.2601689254
290,1151136.3027513418
291,1151684.5391692838
292,1151832.5540355213
293,1150454.3052597342
294,1160609.2405210792
295,1160756.296408187
296,1162357.1468179808
297,1162322.9584178838
298,1163483.1324995337
299,1164364.5598241528
300,1165426.0416236601
301,1170436.0625249397
302,1175264.7429747495
303,1178648.1380149757
304,1179713.5573216926
305,1181846.0929969891
306,1192828.4587447841
307,1182303.1462917242
308,1186443.4156249724
309,1189163.0214735325
310,1196308.2574317846
311,1196454.41597211
312,1190942.3517248067
313,1202298.7413907726
314,1208820.0253937636
315,1204172.9431483755
316,1195429.359263583
317,1198725.7962357434
318,1205492.3330225288
319,1206945.6120191452
320,1210397.728965493
321,1214956.8945678242
322,1214820.0665801573
323,1207064.0803091347
324,1215977.868255969
325,1218797.066707183
326,1220890.3859701834
327,1221762.9412555227
328,1227550.235362216
329,1229352.2489023313
330,1207016.006465789
331,1213268.8539993963
332,1225164.909183055
333,1206099.253585597
334,1220920.525901576
335,1197010.7533792409
336,1198005.331820365
337,1164253.3502437125
338,1152487.2967315207
339,1196259.7737570677
340,1194076.639687873
341,1205730.3176482117
342,1195778.9111906728
343,1180364.442167178
344,1181765.105384265
345,1171341.3371533116
346,1160121.8918804654
347,1119058.5292156895
348,1125699.508068095
349,1118931.5791671094
350,1118373.4359538183
351,1106636.0390074262
352,1129542.2024177848
353,1118410.7177017888
354,1108572.0508345137
355,1132096.4672864256
356,1135094.7897823437
357,1099925.9281713208
358,1087126.4516837988
359,1107573.9794616424
360,1097349.5365669546
361,1121065.664123641
362,1118123.8266705999
363,1119116.6873615943
364,1140434.2813871298
365,1138426.8319304725
366,1139648.362949992
367,1143962.9154259213
368,1143075.177810565
369,1121394.677029582
370,1119262.671970721
371,1105494.6951426992
372,1098299.7575422772
373,1096881.1630966675
374,1074236.6535389815
375,1067668.815760394
376,1064839.8684331998
377,1061178.7092669401
378,1066971.7654829358
379,1092251.2843691548
380,1109864.8965658103
381,1113418.7963574515
382,1113839.2886556156
383,1129844.510445815
384,1132557.1996506988
385,1134982.529696723
386,1110110.4246560202
387,1115149.9581136045
388,1126680.6724919425
389,1115462.9373279104
390,1133667.7424239265
391,1139581.6972278128
392,1149800.6154699812
393,1144422.6407091627
394,1139570.3067358886
395,1132734.609967452
396,1133155.3815596113
397,1155666.4991875945
398,1152337.2055860625
399,1156036.3404026325
400,1158005.5801579007
401,1159071.647316409
402,1168110.1015240962
403,1161739.8062061795
404,1136002.4169441138
405,1133658.3002340994
406,1131593.9835792265
407,1131888.8597575293
408,1147223.7661675175
409,1146854.34015277
410,1133434.498607894
411,1131433.4756265746
412,1128139.800794097
413,1113828.197609187
414,1115037.9796188648
415,1109583.6835772428
416,1125457.8204134475
417,1109553.395491248
418,1110008.2803482541
419,1139049.496451274
420,1146748.2457792198
421,1156144.7862611301
422,1153249.9632655059
423,1158688.5840730963
424,1157553.1136359111
425,1164220.2753071322
426,1166494.5455502705
427,1164549.5828117116
428,1167175.5307936778
429,1168370.5834160603
430,1170259.8626433667
431,1184295.9112605196
432,1191609.2197090178
433,1191327.934357727
434,1184584.0838780291
435,1204063.570721867
436,1199088.7207314507
437,1212588.9280775855
438,1209047.962779034
439,1204738.3617543615
440,1209391.380165793
441,1200582.0252895148
442,1221870.5995471599
443,1222391.7356936303
444,1222035.938305161
445,1229596.2441984077
446,1228534.6658225465
447,1229050.771090262
448,1237272.4007441613
449,1241333.1896239233
450,1242126.0791381216
451,1246988.622749183
452,1233587.7068585919
453,1247886.6943850587
454,1254884.112229614
455,1254874.4163659285
456,1257521.6947041892
457,1255320.155118904
458,1244047.8817932345
459,1247569.7211129784
460,1249184.9186605047
461,1253313.4084787131
462,1264321.072142844
463,1267704.9400033928
464,1288038.2897223497
465,1289432.2230179906
466,1287604.2422784495
467,1286318.2816184757
